Date,Price,Open,High,Low,Vol.,Change %
08/15/2010,"1,228.05","1,212.90","1,237.50","1,212.90",,1.03%
08/08/2010,"1,215.55","1,205.85","1,219.35","1,192.50",,0.85%
08/01/2010,"1,205.30","1,181.45","1,213.61","1,175.50",,2.07%
07/25/2010,"1,180.90","1,189.25","1,195.30","1,157.40",,-0.69%
07/18/2010,"1,189.10","1,193.20","1,203.95","1,175.85",,-0.38%
07/11/2010,"1,193.65","1,210.65","1,218.35","1,186.35",,-1.51%
07/04/2010,"1,212.00","1,210.60","1,214.85","1,185.55",,0.03%
06/27/2010,"1,211.60","1,253.75","1,263.45","1,197.00",,-3.50%
06/20/2010,"1,255.50","1,259.60","1,265.90","1,225.30",,-0.15%
06/13/2010,"1,257.35","1,226.45","1,262.90","1,217.05",,2.44%
06/06/2010,"1,227.40","1,219.65","1,252.70","1,211.65",,0.61%
05/30/2010,"1,220.00","1,212.55","1,231.20","1,197.65",,0.43%
05/23/2010,"1,214.81","1,177.43","1,219.35","1,176.98",,3.20%
05/16/2010,"1,177.15","1,232.50","1,244.10","1,168.50",,-4.53%
05/09/2010,"1,233.05","1,202.35","1,249.45","1,184.35",,2.05%
05/02/2010,"1,208.30","1,179.00","1,213.85","1,157.70",,2.46%
04/25/2010,"1,179.25","1,157.00","1,182.05","1,147.05",,1.89%
04/18/2010,"1,157.40","1,134.15","1,158.00","1,123.65",,1.75%
04/11/2010,"1,137.45","1,166.20","1,169.70","1,130.65",,-2.02%
04/04/2010,"1,160.90","1,125.10","1,165.35","1,119.20",,3.61%
03/28/2010,"1,120.50","1,110.05","1,128.25","1,101.95",,1.26%
03/21/2010,"1,106.60","1,107.90","1,110.65","1,085.85",,-0.09%
03/14/2010,"1,107.55","1,101.00","1,133.80","1,100.85",,0.46%
03/07/2010,"1,102.45","1,135.70","1,137.80","1,098.65",,-2.61%
02/28/2010,"1,132.05","1,116.55","1,145.00","1,112.05",,1.39%
02/21/2010,"1,116.50","1,124.90","1,131.05","1,088.60",,-0.21%
02/14/2010,"1,118.85","1,092.75","1,127.25","1,091.90",,2.33%
02/07/2010,"1,093.40","1,068.00","1,098.75","1,062.40",,2.62%
01/31/2010,"1,065.45","1,080.20","1,124.95","1,044.25",,-1.49%
01/24/2010,"1,081.55","1,091.15","1,104.30","1,074.25",,-1.05%
01/17/2010,"1,093.00","1,129.30","1,141.60","1,082.30",,-3.35%
01/10/2010,"1,130.90","1,137.80","1,162.50","1,120.35",,-0.50%
01/03/2010,"1,136.60","1,096.35","1,140.70","1,093.55",,3.58%
12/27/2009,"1,097.35","1,107.55","1,114.60","1,086.90",,-0.65%
12/20/2009,"1,104.50","1,111.55","1,119.20","1,074.60",,-0.72%
12/13/2009,"1,112.50","1,113.80","1,141.90","1,094.90",,-0.22%
